序号,户型-房间,户型-厅,户型-厨房,户型-卫生,建筑面积,朝向,装修,电梯,总楼层,所处层数,建筑类型,建筑结构,小区,经度,纬度,地址,建筑时间,价格（万）
123,3,2,1,2,125.45,南 北,精装,有,高,14,板楼,一梯两户,保利西子湾,121.241032,31.066142,"广富林路1188弄, 广富林路1202号",2008,588
124,3,2,1,2,118.7,南 北,精装,有,低,20,塔楼,两梯十八户,龙湖好望山(公寓),121.231755,31.061914,"人民北路2908弄, 云清路41号",2012,470
125,4,1,1,2,142.15,南,精装,有,低,13,板楼,一梯两户,莱顿小城,121.252759,31.071153,"辰花路839弄, 茸盛路594号",2006,470
126,4,2,1,2,201.5,南,精装,有,高,12,板楼,一梯两户,莱顿小城,121.252759,31.071153,"辰花路839弄, 茸盛路594号",2006,679
127,3,2,0,2,137.54,南,精装,有,低,14,板楼,一梯两户,保利西子湾,121.241032,31.066142,"广富林路1188弄, 广富林路1202号",2008,620
128,3,2,1,1,112.94,南,精装,有,低,14,板楼,一梯两户,保利西子湾,121.241032,31.066142,"广富林路1188弄, 广富林路1202号",2008,515
129,3,2,1,2,94.33,南,精装,无,中,6,板楼,一梯两户,首创锦悦,121.22517,31.072295,"云恩路58弄, 云恩路59弄",2013,446
130,3,2,1,2,140.93,南 北,简装,有,高,18,板楼,两梯两户,莱顿小城,121.252759,31.071153,"辰花路839弄, 茸盛路594号",2006,500
131,4,2,1,3,188,南,简装,有,低,16,板楼,两梯两户,誉品谷水湾,121.232503,31.063333,龙马路185弄,2008,920
132,2,2,1,1,105.5,南,精装,有,中,14,板楼,一梯两户,三湘四季花城,121.233711,31.060553,"广富林路1599弄,梅家浜路1508弄",2006,485
133,3,2,1,1,108.78,南 北,精装,有,中,18,板楼,两梯三户,三湘四季花城,121.233711,31.060553,"广富林路1599弄,梅家浜路1508弄",2006,505
134,1,1,1,1,63.84,南,精装,有,中,12,板楼,一梯三户,绿地蔷薇九里(公寓),121.236356,31.064969,广富林路1518弄,2009,290
135,2,1,1,1,82.24,南,精装,有,低,27,板楼,两梯七户,星辰园(公寓),121.236346,31.058065,梅家浜路1505弄,2004,282
136,3,2,1,2,142.58,南 北,精装,有,高,14,板楼,一梯两户,松云水苑(公寓),121.244126,31.04927,文翔路928弄,2005,428
137,1,1,1,1,59.7,南,简装,有,中,18,板楼,两梯四户,保利西子湾,121.241032,31.066142,"广富林路1188弄, 广富林路1202号",2008,278
138,2,1,0,1,67.39,南 北,精装,无,高,6,板楼,一梯两户,松云水苑(公寓),121.244126,31.04927,文翔路928弄,2005,240
139,1,1,1,1,62.25,东南,其他,有,高,11,塔楼,两梯十一户,保利西子湾,121.241032,31.066142,"广富林路1188弄, 广富林路1202号",2008,208
140,2,2,1,1,82.11,南 北,简装,有,低,22,板楼,一梯两户,信达蓝爵,121.248677,31.065979,淡家浜街99弄,2013,352
141,1,2,1,1,59.7,南,精装,有,中,18,板楼,两梯四户,保利西子湾,121.241032,31.066142,"广富林路1188弄, 广富林路1202号",2008,280
142,3,2,1,2,149,南 北,毛坯,无,高,6,板楼,一梯两户,恒杰丁香花园,121.193758,31.050438,三新北路1333弄,2007,460
143,4,2,1,2,180.72,南,毛坯,有,低,19,板楼,两梯两户,御上海,121.240489,31.054934,谷阳北路2399弄,2009,708
144,3,1,1,2,153.95,南,毛坯,有,高,14,板楼,一梯两户,松云水苑(公寓),121.244126,31.04927,文翔路928弄,2005,430
145,4,2,1,2,140.77,南,毛坯,有,低,18,板楼,两梯三户,保利西子湾,121.241032,31.066142,"广富林路1188弄, 广富林路1202号",2008,610
146,3,2,1,2,132.1,南,精装,有,中,18,板楼,两梯两户,御上海,121.240489,31.054934,谷阳北路2399弄,2009,560
147,3,2,1,2,135.56,南,其他,有,中,14,板楼,一梯两户,三湘四季花城,121.233711,31.060553,"广富林路1599弄,梅家浜路1508弄",2006,595
148,3,1,1,1,85.96,南 北,其他,有,高,14,板楼,两梯两户,上坤红树湾,121.247159,31.064191,光星路1855弄,2016,405
149,3,2,1,1,112.72,南,毛坯,有,中,14,板楼,一梯两户,保利西子湾,121.241032,31.066142,"广富林路1188弄, 广富林路1202号",2008,515
150,4,1,1,2,155.48,南 北,其他,有,低,18,板楼,两梯两户,莱顿小城,121.252759,31.071153,"辰花路839弄, 茸盛路594号",2006,500
151,3,2,1,2,171.8,南 北,精装,有,低,17,板楼,两梯两户,誉品谷水湾,121.232503,31.063333,龙马路185弄,2008,770
152,2,1,1,1,67.89,南,精装,无,低,6,板楼,一梯两户,文翔名苑(公寓),121.198601,31.052462,文翔路3088弄,2006,260
153,4,1,1,2,140.57,南,毛坯,有,高,18,板楼,两梯三户,保利西子湾,121.241032,31.066142,"广富林路1188弄, 广富林路1202号",2008,645
